title,authors,language_code
The Histories,Herodotus/Jennifer Tolbert Roberts/Walter Blanco,en-US
The Histories,Herodotus/Edward Henry Blakeney/George Rawlinson/Rosalind Thomas,en-US
The History,Herodotus/Peter Grene,en-US
The Iliad,Homer/Robert Fagles/Bernard Knox,eng
Iliad,Homer/Stanley Lombardo/Sheila Murnaghan,en-US
The Iliad,Homer/Robert Fitzgerald/Andrew Ford,en-US
The Iliad/The Odyssey,Homer/Robert Fagles/Bernard Knox,eng
The Iliad,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,eng
The Iliad,Homer/W.H.D. Rouse,en-US
The Essential Iliad,Homer/Sheila Murnaghan/Stanley Lombardo,en-US
The Odyssey,Homer/Robert Fagles/Bernard Knox,eng
The Odyssey,Homer/Robert Fitzgerald/D.S. Carne-Ross,eng
The Odyssey,Homer/Richmond Lattimore,eng
The Odyssey,Homer/E.V. Rieu/Peter Jones/D.C.H. Rieu,eng
The Odyssey,Homer/W.H.D. Rouse,eng
Aeneid: Selections from Books 1  2  4  6  10  12,Virgil/Barbara Weiden Boyd,eng
Eclogues. Georgics. Aeneid: Books 1-6,Virgil/Henry Rushton Fairclough/G.P. Goold,mul
City Eclogue,Ed Roberson,eng
The Eclogues and The Georgics,Virgil/Cecil Day-Lewis,eng
Paul Kirk's Championship Barbecue Sauces: 175 Make-Your-Own Sauces  Marinades  Dry Rubs  Wet Rubs  Mops and Salsas,Paul  Kirk,eng
The Complete Pelican Shakespeare,William Shakespeare/Stephen Orgel/A.R. Braunmuller,eng
The Complete Works,William Shakespeare,eng
Hamlet,William Shakespeare/Harold Bloom/Rex Gibson,eng
The Compleat Works of Wllm Shkspr (abridged),Reduced Shakespeare Company/Adam Long/Daniel Singer/Jess Winfield,eng
The Pilgrimage: A Contemporary Quest for Ancient Wisdom,Paulo Coelho/Alan R. Clarke,en-US
The Valkyries,Paulo Coelho/Alan R. Clarke,en-US
Warrior of the Light,Paulo Coelho,en-US
The Zahir,Paulo Coelho/Margaret Jull Costa,eng
By the River Piedra I Sat Down and Wept,Paulo Coelho/Alan R. Clarke,eng
The Fifth Mountain,Paulo Coelho/Clifford E. Landers,en-US
Veronika Decides to Die,Paulo Coelho/Margaret Jull Costa/Kâmuran Şipal,eng
Hamlet,William Shakespeare/Stephen Orgel/A.R. Braunmuller,eng
Cliffs Notes on Shakespeare's Hamlet,Carla Lynn Stockton,en-US
Shakespeare's Hamlet,William Shakespeare/Terri Mategrano,eng
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,Giorgio De Santillana/Hertha Von Dechend,eng
History of the Peloponnesian War: Bk. 1-2,Thucydides/C.F. Smith,mul
On Justice  Power and Human Nature: Selections from The History of the Peloponnesian War,Thucydides/Paul Woodruff,eng
History of the Peloponnesian War: Bk. 5-6,Thucydides/C.F. Smith,mul
The Peloponnesian War,Thucydides/Steven Lattimore,eng
The Peloponnesian War: A New Translation  Backgrounds  Interpretations,Thucydides/Jennifer Tolbert Roberts/Walter Blanco,eng
History of the Peloponnesian War  Bk. 7-8,Thucydides/C.F. Smith,eng
Thucydides  Book 6 Commentary,Cynthia W. Shelmerdine,eng
Euripides I: Alcestis / The Medea / The Heracleidae / Hippolytus,Euripides/Richmond Lattimore/David Grene/Rex Warner/Ralph Gladstone,eng
Euripides V: Electra / The Phoenician Women / The Bacchae,Euripides/David Grene/Richmond Lattimore/Emily Townsend Vermeule/Elizabeth Wyckoff/William Arrowsmith,eng
Euripides IV: Rhesus / The Suppliant Women / Orestes / Iphigenia in Aulis,Euripides/David Grene/Richmond Lattimore/William Arrowsmith/Frank William Jones/Charles R. Walker,eng
Grief Lessons: Four Plays by Euripides,Anne Carson/Euripides,eng
Ten Plays,Euripides/Moses Hadas/John Maclean,en-US
Euripides III: Hecuba / Andromache / The Trojan Women / Ion (Complete Greek Tragedies  #7),Euripides/David Grene/Richmond Lattimore/William Arrowsmith/John Frederick Nims/Ronald Frederick Willetts,eng
Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen,Euripides/David Grene/Richmond Lattimore/Witter Bynner/William Arrowsmith,eng
Medea and Other Plays,Euripides/John Davie/Richard Rutherford,eng
Cyclops / Alcestis / Medea,Euripides/David Kovacs,mul
Medea,Euripides/Donald J. Mastronarde,grc
The Bacchae and Other Plays,Euripides/John Davie/Richard Rutherford,eng
Bakkhai,Euripides/Reginald Gibbons/Peter H. Burian,eng
Plays 1: Medea/The Phoenician Women/Bacchae,Euripides/David Thompson/J. Michael Walton,eng
The Trojan Women and Hippolytus,Euripides,eng
The Bacchae of Euripides: A Communion Rite,Wole Soyinka,eng
Orestes and Other Plays,Euripides/James Morwood/Robin Waterfield,eng
Children of Heracles / Hippolytus / Andromache / Hecuba,Euripides/David Kovacs,mul
Alcestis,Euripides/William Arrowsmith,eng
Suppliant Women / Electra / Heracles,Euripides/David Kovacs,mul
Medea,Euripides/Georgia Ann Machemer/Michael   Collier,eng
Euripides: Medea,William Allan,eng
CliffsNotes on Euripides' Medea and Electra,Robert J. Milch,eng
Trojan Women / Iphigenia Among the Taurians / Ion,Euripides/David Kovacs,mul
Helen / Phoenician Women / Orestes,Euripides/David Kovacs,mul
Euripides: Iphigenia at Aulis (Companions to Greek & Roman Tragedy),Euripides/Pantelis Michelakis,eng
The Complete Greek Tragedies  Volume 3: Euripides,Euripides/David Grene/Richmond Lattimore,eng
Aeschylus I: Oresteia (Agamemnon  The Libation Bearers  The Eumenides),Aeschylus/David Grene/Richmond Lattimore,en-US
Aeschylus II: The Suppliant Maidens  The Persians  Seven against Thebes  and Prometheus Bound (The Complete Greek Tragedies),Aeschylus/David Grene/Richmond Lattimore/Seth Benardete,eng
The Oresteia,Aeschylus/Alan Shapiro/Peter H. Burian,eng
The Oresteia: Agamemnon  The Libation Bearers  The Eumenides,Aeschylus/Robert Fagles/William Bedell Stanford,eng
Oresteia,Aeschylus/Peter Meineck/Helene P. Foley,eng
Prometheus Bound and Other Plays,Aeschylus/Philip Vellacott,eng
The Oresteia,Aeschylus/Ted Hughes,en-US
Aeschylus  1: The Oresteia: Agamemnon/The Libation Bearers/The Eumenides,Aeschylus/David R. Slavitt/Smith Palmer Bovie,eng
The Complete Greek Tragedies  Volume 1: Aeschylus,Aeschylus/Richmond Lattimore/David Grene,eng
Aeschylus: The Oresteia (A Student Guide: Landmarks of World Literature),Simon Goldhill,eng
The Oresteia: Agamemnon  Choephoroe & Eumenides (Everyman's Library  No. 260),Aeschylus/George Thomson/Richard Seaford,eng
Aeschylus 2: The Persians/Seven Against Thebes/The Suppliants/Prometheus Bound,Aeschylus/David R. Slavitt/Smith Palmer Bovie,en-GB
The Oresteia Trilogy: Agamemnon/The Libation-Bearers/The Furies,Aeschylus/E.D.A. Morshead,eng
The Suppliant Maidens/The Persians/Seven against Thebes/Prometheus Bound,Aeschylus/E.D.A. Morshead,eng
Sophocles II: Ajax/Women of Trachis/Electra/Philoctetes (Complete Greek Tragedies 4),Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson,eng
The Oedipus Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,Sophocles/Paul Roche,eng
The Complete Plays,Sophocles/Paul Roche,eng
The Oedipus Cycle: Oedipus Rex  Oedipus at Colonus  Antigone,Sophocles/Robert Fitzgerald/Dudley Fitts,eng
The Three Theban Plays: Antigone  Oedipus the King  Oedipus at Colonus,Sophocles/Robert Fagles/Bernard Knox,eng
Theban Plays,Sophocles/Peter Meineck/Paul Woodruff,en-US
The Theban Plays (Everyman's Library  #93),Sophocles/David Grene/Charles Segal,en-US
Electra and Other Plays,Sophocles/E.F. Watling,eng
Antigone; Oedipus the Kingn; Electra,Sophocles/Edith Hall/H.D.F. Kitto,eng
Oedipus Rex  (The Theban Plays  #1),Sophocles/J.E. Thomas,eng
The Oedipus Plays of Sophocles,Sophocles/Paul Roche,eng
Oedipus Rex (Greek and Latin Classics),Sophocles/Roger D. Dawe,grc
Oedipus the King,Sophocles/Bernard Knox/Cynthia Brantley Johnson,eng
Four Plays: The Clouds/The Birds/Lysistrata/The Frogs,Aristophanes/William Arrowsmith/Richmond Lattimore/Douglass Parker,eng
Three Plays by Aristophanes: Lysistrata/Women at the Thesmophoria/Assemblywomen,Aristophanes/Jeffrey Henderson,eng
The Complete Plays,Aristophanes/Moses Hadas,eng
Aristophanes 1: The Acharnians/Peace/Celebrating Ladies/Wealth,Aristophanes/David R. Slavitt,eng
Clouds/Wasps/Birds (Aristophanes 1),Aristophanes/Peter Meineck,eng
Lysistrata and Other Plays,Aristophanes/Alan H. Sommerstein,en-US
Acharnians,Aristophanes/Jeffrey Henderson,eng
Clouds,Aristophanes/Kenneth James Dover,eng
Clouds/Wasps/Peace,Aristophanes/Jeffrey Henderson,grc
Three Plays: The Wasps / The Poet and the Women / The Frogs,Aristophanes/David B. Barrett,eng
Four Comedies: Lysistrata / The Frogs / The Birds / Ladies' Day,Aristophanes/Dudley Fitts,eng
Frogs/Assemblywomen/Wealth (Loeb Classical Library 180),Aristophanes/Jeffrey Henderson,grc
Cliffs Notes on Aristophanes' Lysistrata  The Birds  The Clouds  The Frogs,W. John Campbell,eng
Aristophanes and Athens: An Introduction to the Plays,Douglas M. MacDowell,eng
Lysistrata,Aristophanes/Douglass Parker,eng
Peace,Aristophanes/S. Douglas Olson,eng
Lysistrata,Aristophanes/Sarah Ruden,eng
The Knights / Peace / The Birds / The Assembly Women / Wealth,Aristophanes/Alan H. Sommerstein/David B. Barrett/David Brett,en-US
Genres in Dialogue: Plato and the Construct of Philosophy,Andrea Wilson Nightingale,en-GB
The Curious Incident of the Dog in the Night-Time,Mark Haddon,eng
The Night Gardener,George Pelecanos,eng
Twelfth Night,William Shakespeare,eng
Brokeback Mountain,Annie Proulx,eng
Getting Things Done: The Art of Stress-Free Productivity,David    Allen,en-GB
Getting Things Done When You Are Not in Charge,Geoffrey M. Bellman,eng
Formas breves,Ricardo Piglia,spa
El último lector,Ricardo Piglia,spa
Money to Burn,Ricardo Piglia/Amanda Hopkinson,eng
Respiración artificial,Ricardo Piglia,spa
Plata quemada,Ricardo Piglia,spa
American Government: Continuity and Change  Alternate Edition,Karen  O'Connor/Larry J. Sabato,eng
Essentials of American and Texas Government: Continuity and Change,Karen  O'Connor/Larry J. Sabato,eng
El túnel,Ernesto Sabato,spa
The Confessions (Works of Saint Augustine 1),Augustine of Hippo/John E. Rotelle/Maria Boulding,eng
The City of God,Augustine of Hippo/Thomas Merton/Marcus Dods,eng
The Enchiridion on Faith Hope and Love (Augustine Series 1),Augustine of Hippo/Bruce Harbert/John E. Rotelle,eng
Augustine of Hippo: A Biography,Peter R.L. Brown,en-US
On Christian Doctrine,Augustine of Hippo/D.W. Robertson Jr.,eng
Confessions  Books 1-13,Augustine of Hippo/Peter R.L. Brown/Frank Sheed,eng
Saint Augustine,Garry Wills,eng
Augustine: A Very Short Introduction,Henry Chadwick,eng
On Genesis/A Refutation of the Manichees/The Unfinished Literal Meaning of Genesis (Works of St Augustine 1),Augustine of Hippo/Boniface Ramsey/Edmund Hill,eng
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng
Confesiones de un chef,Anthony Bourdain,spa
The Metamorphoses of Ovid,Ovid/Allen Mandelbaum,eng
Metamorphoses,Ovid/David Raeburn/Denis Feeney,eng
Metamorphoses,Ovid/Bernard Knox/Charles    Martin,eng
Ovid's Metamorphoses: Books 1-5,Ovid/William Scovil Anderson,eng
Ovid’s Metamorphoses: Books 6-10,Ovid/William Scovil Anderson,eng
Latin Via Ovid: A First Course,Norma Goldman/Jacob E. Nyenhuis,en-US
The Art of Love and Other Poems,Ovid/J.H. Mozley/G.P. Goold,eng
The Poems of Exile: Tristia and the Black Sea Letters,Ovid/Peter Green,eng
Metamorphoses: Volume 2  Books IX-XV,Ovid/Frank Justus Miller,eng
Metamorphoses: Volume I  Books I-VIII,Ovid/Frank Justus Miller,eng
Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,eng
Tibullus: A Commentary,Michael C.J. Putnam,eng
Dionysiac Poetics and Euripides' Bacchae,Charles Segal,eng
Antigone,Sophocles/Reginald Gibbons/Charles Segal,eng
Antigone,Sophocles/Reginald Gibbons/Charles Segal,eng
Object-Oriented Programming in C++,Richard Johnsonbaugh/Martin Kalin,eng
The Iliad,Homer/Robert Fitzgerald,eng
Love  Sex & Tragedy: How the Ancient World Shapes Our Lives,Simon Goldhill,eng
Reading Greek Tragedy,Simon Goldhill,eng
Who Needs Greek? Contests in the Cultural History of Hellenism,Simon Goldhill,eng
Foucault's Virginity: Ancient Erotic Fiction & the History of Sexuality (Stanford Memorial Lecture),Simon Goldhill,eng
2012: The Return of Quetzalcoatl,Daniel Pinchbeck,en-US
Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism,Daniel Pinchbeck/Lee Fukui,en-US
Them: Adventures with Extremists,Jon Ronson,eng
The Men Who Stare at Goats,Jon Ronson,eng
Guns  Germs and Steel: The Fates of Human Societies,Jared Diamond,eng
Caught Inside: A Surfer's Year on the California Coast,Daniel Duane,eng
Into the Wild,Jon Krakauer,eng
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,eng
Wild Swans: Three Daughters of China,Jung Chang,eng
Wild Fire (John Corey  #4),Nelson DeMille,eng
Born to Be Wild,Catherine Coulter,eng
The Call of the Wild,Jack London/Avi,eng
Wild About Books,Judy Sierra/Marc Brown,eng
In Web Design for Libraries,Charles P. Rubenstein,eng
Nickel and Dimed: On (Not) Getting by in America,Barbara Ehrenreich,eng
The History of Sexuality 1: An Introduction,Michel Foucault/Robert Hurley,eng
The History of Sexuality  Volume 1: The Will to Knowledge,Michel Foucault/Robert Hurley,eng
The History of Sexuality  Volume 2: The Use of Pleasure,Michel Foucault/Robert Hurley,eng
The Making of Pride and Prejudice,Sue Birtwistle/Sue Conklin/Susie Conklin,eng
Pride and Prejudice,Jane Austen,eng
Pride & Prejudice,Jane Austen/Vivien Jones,eng
Pride and Prejudice,Jane Austen/George Saintsbury/Hugh  Thomson,eng
Pride and Prejudice,Jane Austen/Carol Howard,eng
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng
Iceland: Land of the Sagas,David  Roberts/Jon Krakauer,eng
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,eng
In the Land of White Death: An Epic Story of Survival in the Siberian Arctic,Valerian Albanov/Jon Krakauer/David  Roberts/Alison Anderson/Валериан Альбанов,eng
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,eng
La Tierra es plana: Breve historia del mundo globalizado del siglo XXI,Thomas L. Friedman,spa
The Avalanche Handbook,David McClung/Peter Schaerer,eng
Avalanche,Arthur J. Roth,eng
Little Women,Louisa May Alcott,eng
Little Women (Little Women  #1),Louisa May Alcott/Scott McKowen,eng
Little Women,Louisa May Alcott/Paula Danziger,eng
Little Women,Louisa May Alcott/Jessie Willcox Smith/Frank T. Merrill,eng
Little Women  Little Men  Jo's Boys,Louisa May Alcott/Elaine Showalter,eng
Little Women,Louisa May Alcott,eng
A Tale of Two Cities,Charles Dickens/Keith Cox/Cynthia Brantley Johnson,eng
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,eng
A Tale of Two Cities: Charles Dickens,SparkNotes,eng
A Tale of Two Cities,Charles Dickens/Gillen D'Arcy Wood,en-US
A Tale of Two Cities,Charles Dickens/Simon Schama,eng
Den of Thieves,James B. Stewart,en-US
Den of Thieves (Cat Royal  #3),Julia Golding,eng
Charles Dickens: Four Novels:  Great Expectations  Hard Times  A Christmas Carol  and A Tale of Two Cities,Charles Dickens,en-US
Bleak House,Charles Dickens/Mary Gaitskill/Hablot Knight Browne,eng
David Copperfield,Charles Dickens/Gish Jen,eng
What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England,Daniel Pool,en-US
Charles Dickens,Jane Smiley,eng
Martin Chuzzlewit,Charles Dickens/Patricia Ingham/Hablot Knight Browne,eng
Why Is Sex Fun? The Evolution of Human Sexuality (Science Masters),Jared Diamond,eng
The Third Chimpanzee: The Evolution & Future of the Human Animal,Jared Diamond,eng
J.K.Rowling,Colleen Sexton,eng
Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry,J.K. Rowling,eng
J.K. Rowling's Harry Potter Novels: A Reader's Guide,Philip Nel,eng
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,eng
The Santaroga Barrier,Frank Herbert,eng
The Dosadi Experiment (ConSentiency Universe  #2),Frank Herbert,eng
The Eyes of Heisenberg,Frank Herbert,eng
The Birds (Methuen Drama),Sean O'Brien,en-GB
The Frogs,Aristophanes/B.B. Rogers,en-US
Lysistrata,Aristophanes/Jeffrey Henderson,eng
"Myths of the Underworld Journey: Plato  Aristophanes  and the ""Orphic"" Gold Tablets",Radcliffe G. Edmonds III,eng
Assembly of Women (Literary Classics),Aristophanes/Robert Mayhew,en-GB
Comoediae 1: Acharenses/Equites/Nubes/Vespae/Pax/Aves,Aristophanes/F.W. Hall/W.M. Geldart,grc
Aristophanes and His Theatre of the Absurd,Paul Anthony Cartledge,eng
Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters,Raymond Chandler/Frank MacShane,eng
Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell  My Lovely / The High Window,Raymond Chandler/Frank MacShane,eng
The Lady in the Lake  The Little Sister  The Long Goodbye  Playback (Everyman's Library),Raymond Chandler/Tom Hiney,eng
The High Window (Philip Marlowe  #3),Raymond Chandler,eng
The Simple Art of Murder,Raymond Chandler,eng
The Big Sleep (Philip Marlowe  #1),Raymond Chandler,eng
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,eng
An Evening of Long Goodbyes,Paul Murray,eng
The Long Goodbye: Memories of My Father,Patti   Davis,eng
Ghost In the Shell 2: Innocence: After the Long Goodbye,Masaki Yamada/Yuji Oniki/Carl Gustav Horn,eng
The Long Goodbye (Philip Marlowe  #6),Raymond Chandler,eng
Breaking the Spell: Religion as a Natural Phenomenon,Daniel C. Dennett,eng
Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,eng
Freedom Evolves,Daniel C. Dennett,eng
Brainstorms: Philosophical Essays on Mind and Psychology,Daniel C. Dennett,eng
Kinds of Minds: Towards an Understanding of Consciousness,Daniel C. Dennett,eng
Leaps of Faith: Science  Miracles & the Search for Supernatural Consolation,Nicholas Humphrey/Daniel C. Dennett,en-US
Elbow Room: The Varieties of Free Will Worth Wanting,Daniel C. Dennett,eng
The Mind’s I: Fantasies and Reflections on Self and Soul,Douglas R. Hofstadter/Daniel C. Dennett,eng
The Illustrated A Brief History of Time,Stephen Hawking,eng
A Briefer History of Time,Stephen Hawking/Leonard Mlodinow,eng
The Universe in a Nutshell,Stephen Hawking,eng
God Created the Integers: The Mathematical Breakthroughs That Changed History,Stephen Hawking,eng
Stephen Hawking's Universe: The Cosmos Explained,David Filkin/Stephen Hawking,eng
The Future of Spacetime,Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price,eng
Stephen Hawking's Universe,John Boslough,eng
The Nature of Space and Time,Stephen Hawking/Roger Penrose,eng
The Physics of Star Trek,Lawrence M. Krauss/Stephen Hawking,eng
Falconry & Hawking,Phillip Glasier,eng
The World Treasury of Physics  Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike,Timothy Ferris,eng
The Art of Nonfiction: A Guide for Writers and Readers,Ayn Rand/Robert Mayhew/Peter   Schwartz,en-US
The Journals of Ayn Rand,Ayn Rand/Leonard Peikoff/David Harriman,eng
The Fountainhead,Ayn Rand/Leonard Peikoff,eng
The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease  Related Dementing Illnesses  and Memory Loss in Later Life,Nancy L. Mace/Peter V. Rabins,eng
